Image name,Description,Label,Solved,Comment
img_0,"a single continuous line forming a square spiral that starts from the center and winds outward in a clockwise direction, ending with a vertical line extending downward from the top-left corner.",Complex,Solved,
img_1,"an abstract geometric figure composed of several overlapping straight lines forming a complex, angular shape. At the center, the lines intersect to create a dense arrangement of triangles and sharp angles, giving the appearance of a distorted or irregular five-pointed star. The lines are black, uniform in thickness, and extend outward in different directions, with some reaching beyond the central form. The overall figure has a dynamic, unbalanced look, as if the lines were drawn freely without symmetry, resulting in a layered and tangled visual effect.",Complex,Unsolved,Can not be described!
img_2,"six stacked squares, each one larger than the previous, arranged in a way that creates a stepped spiral pattern, starting from the bottom-left corner and each square shares its bottom-left corner with the next.",Compositional,Solved,
img_3,"eight stacked squares, each larger than the one before, forming a staircase-like spiral that expands outward in a clockwise direction. Each square shares its bottom-left corner with the next, creating a geometric, layered pattern.",Compositional,Solved,Partial image
img_4,"five stacked squares, each larger than the one before, forming a staircase-like spiral that expands outward in a clockwise direction. Each square shares its bottom-left corner with the next, creating a geometric, layered pattern.",Compositional,Solved,
img_5,"seven stacked squares, each larger than the one before, forming a staircase-like spiral that expands outward in a clockwise direction. Each square shares its bottom-left corner with the next, creating a geometric, layered pattern.",Compositional,Solved,
img_6,"five concentric circles stacked inside one another, each one larger than the previous, forming a fan-like pattern that opens upward. All circles share the same bottom center point, creating a layered, symmetrical design.",Compositional,Solved,
img_7,"four concentric circles stacked inside one another, each one larger than the previous, forming a fan-like pattern that opens upward. All circles share the same bottom center point, creating a layered, symmetrical design.",Compositional,Solved,
img_8,"six concentric circles stacked inside one another, each one larger than the previous, forming a fan-like pattern that opens upward. All circles share the same bottom center point, creating a layered, symmetrical design.",Compositional,Solved,
img_9,"three concentric circles stacked inside one another, each one larger than the previous, forming a fan-like pattern that opens upward. All circles share the same bottom center point, creating a layered, symmetrical design.",Compositional,Solved,
img_10,"a staircase-like pattern made of straight lines forming five steps, each turning at a right angle. The shape starts with a horizontal line and alternates between vertical and horizontal segments and ends with vertical line, creating an ascending zigzag path from bottom left to top right.",Complex,Solved,
img_11,"a staircase-like pattern made of straight lines forming seven steps, each turning at a right angle. The shape starts with a horizontal line and alternates between vertical and horizontal segments and ends with vertical line, creating an ascending zigzag path from bottom left to top right.",Complex,Solved,
